Index,Function,Standard,Recon
0,getElongationFeatureValue,0.859360401140022,0.8697295854667649
0,getMajorAxisLengthFeatureValue,453.50715884072764,565.5968730372786
0,getMaximumDiameterFeatureValue,497.8051827773592,613.0424128883743
0,getMeshSurfaceFeatureValue,132354.0,209020.0
0,getMinorAxisLengthFeatureValue,389.72609394123936,491.9163339280108
0,getPerimeterFeatureValue,2153.6063479106015,2848.993216262546
0,getPerimeterSurfaceRatioFeatureValue,0.016271562233937786,0.013630242159901187
0,getPixelSurfaceFeatureValue,132354.0,209019.0
0,getSphericalDisproportionFeatureValue,1.6699091913219688,1.757893504603573
0,getSphericityFeatureValue,0.5988349577310601,0.5688626742070547
1,getElongationFeatureValue,0.892095003108884,0.8526077232159844
1,getMajorAxisLengthFeatureValue,445.4729814707741,568.6820869156554
1,getMaximumDiameterFeatureValue,512.659731205797,640.1757571167468
1,getMeshSurfaceFeatureValue,131580.0,208373.0
1,getMinorAxisLengthFeatureValue,397.404220790094,484.8627393588716
1,getPerimeterFeatureValue,2034.084486609907,2671.9150057757442
1,getPerimeterSurfaceRatioFeatureValue,0.015458918426887878,0.012822750576013899
1,getPixelSurfaceFeatureValue,131580.0,208372.0
1,getSphericalDisproportionFeatureValue,1.5818638981190583,1.6511897529849016
1,getSphericityFeatureValue,0.6321656377575003,0.6056239134189588
2,getElongationFeatureValue,0.8560732700437217,0.8595907057531561
2,getMajorAxisLengthFeatureValue,454.25987391816034,564.5037057468169
2,getMaximumDiameterFeatureValue,481.96472899995496,617.7782773778955
2,getMeshSurfaceFeatureValue,133015.5,207573.0
2,getMinorAxisLengthFeatureValue,388.87973571476823,485.2421388231782
2,getPerimeterFeatureValue,2077.020561472972,2601.613490585571
2,getPerimeterSurfaceRatioFeatureValue,0.015614876172122589,0.012533486968852264
2,getPixelSurfaceFeatureValue,133015.0,207572.0
2,getSphericalDisproportionFeatureValue,1.606514827239413,1.6108400278300636
2,getSphericityFeatureValue,0.6224654656430219,0.6207941091127985
3,getElongationFeatureValue,0.9005321711249598,0.8755087308723243
3,getMajorAxisLengthFeatureValue,446.6701045863992,561.7093344582747
3,getMaximumDiameterFeatureValue,484.3222068003903,608.2515926818442
3,getMeshSurfaceFeatureValue,134232.5,208803.0
3,getMinorAxisLengthFeatureValue,402.2407990598029,491.78142653070205
3,getPerimeterFeatureValue,2147.3809511661802,2913.0520907656073
