Function,Std dev Standard,Std dev Swift,Std dev Recon_L,Std dev Recon_M
getElongationFeatureValue,0.29859469450188114,0.2928826189820594,0.3187615139031466,0.3033464438753218
getMajorAxisLengthFeatureValue,267.85293999810744,283.7513186567148,186.62360526148768,209.61164271609192
getMaximumDiameterFeatureValue,283.11924872606596,302.3824540811213,204.3015323884825,225.46981626962366
getMeshSurfaceFeatureValue,68933.4524305064,73041.9936595837,61531.29322568314,63836.94354719078
getMinorAxisLengthFeatureValue,257.24684771071435,278.1425444762976,208.29299981598587,216.05066053816287
getPerimeterFeatureValue,1953.4123687697943,2226.3902557890638,1571.6346199192872,1483.199987029154
getPerimeterSurfaceRatioFeatureValue,0.16464074532888517,0.16691032480842247,0.17668114944667943,0.21307663761488096
getPixelSurfaceFeatureValue,68933.99056230855,73043.2572311321,61529.54757124598,63834.7076565719
getSphericalDisproportionFeatureValue,0.7733666105443148,0.9916589649318901,0.7553112239635589,0.7359060953633935
getSphericityFeatureValue,0.1378553167734811,0.18350540635288687,0.11078443922049601,0.1465780414277641
